variable,split,mean,std
pafi1,train,221.93651069755856,114.61522526861992
paco21,train,38.83985402092675,13.188274166601339
ph1,train,7.387178064773294,0.11070563903724008
hema1,train,31.85283931390135,8.399908170932605
age,train,61.408830764823115,16.606194762666792
edu,train,11.68188872894868,3.173746956577217
surv2md1,train,0.5900408640903089,0.19768244540090002
das2d3pc,train,20.441958963627304,5.253915391275066
aps1,train,54.889636273044346,19.930605431357154
wblc1,train,15.498222777939713,11.97951542113842
temp1,train,37.61277709516691,1.7922153339951254
alb1,train,3.0884344957399104,0.7092553181186787
bili1,train,-0.41747167309412814,0.5846931357190354
crea1,train,-0.3949609461188972,0.9772700519890825
sod1,train,136.81290483308422,7.639107669939894
pot1,train,4.08660631838565,1.0466239374835078
meanbp1,train,78.67301943198804,38.24093125598949
urin1,train,1034.9720403475337,1514.562451512475
hrt1,train,114.73542600896862,41.609809933315596
resp1,train,28.14200298953662,14.029684970724157
wtkilo1,train,68.06158610114599,29.391083080761163
